age,sex,L,M,S
5,f,1.277,83.7,0.08
5.5,f,1.371,83.8,0.079
6,f,1.465,83.9,0.079
6.5,f,1.56,84,0.078
7,f,1.656,84,0.078
7.5,f,1.755,84.1,0.077
8,f,1.857,84.1,0.077
8.5,f,1.961,84.1,0.077
9,f,2.066,84.2,0.076
9.5,f,2.171,84.3,0.076
10,f,2.274,84.4,0.076
10.5,f,2.375,84.5,0.076
11,f,2.474,84.7,0.076
11.5,f,2.57,84.9,0.076
12,f,2.663,85.2,0.076
12.5,f,2.753,85.5,0.076
13,f,2.843,85.9,0.077
13.5,f,2.933,86.2,0.076
14,f,3.026,86.5,0.076
14.5,f,3.122,86.8,0.076
15,f,3.219,87.1,0.076
15.5,f,3.317,87.4,0.075
16,f,3.415,87.7,0.075
5,m,-0.132,83.5,0.069
5.5,m,-0.069,83.8,0.07
6,m,0.007,84.1,0.071
6.5,m,-0.06,84.3,0.072
7,m,0.127,84.5,0.073
7.5,m,0.199,84.7,0.074
8,m,0.272,84.8,0.076
8.5,m,0.353,84.8,0.077
9,m,0.442,84.9,0.078
9.5,m,0.552,84.9,0.078
10,m,0.682,85,0.079
10.5,m,0.832,85.1,0.079
11,m,0.998,85.3,0.08
11.5,m,1.183,85.6,0.08
12,m,1.378,85.9,0.081
12.5,m,1.569,86.3,0.081
13,m,1.755,86.8,0.082
13.5,m,1.937,87.4,0.082
14,m,2.117,88,0.083
14.5,m,2.291,88.7,0.083
15,m,2.464,89.4,0.083
15.5,m,2.635,90.1,0.084
16,m,2.806,90.8,0.084
